,species_f,species,val,pK_a,K_a,pK_b,K_b,g,c,N_TE,I,pH,c_mM,cont_mM,c_BME_percent
0,$[TH^{+}]$,[TH^{+}],1,0.0,,5.94,1.1481536214968817e-06,0.8480252333759359,0.01524850479767449,5,30.992848261160407,8.417746234353766,15.24850479767449,7.624252398837245,0
1,$[T]$,[T],0,0.0,,,,1.0,0.03475149520232551,5,30.992848261160407,8.417746234353766,34.75149520232551,0.0,0
2,$[HE^{3-}]$,[HE^{3-}],-3,6.16,6.918309709189363e-07,,,0.22681876200946888,0.004735671049012061,5,30.992848261160407,8.417746234353766,4.735671049012061,21.310519720554275,0
3,$[H_2 E^{2-}]$,[H_2 E^{2-}],-2,2.67,0.0021379620895022326,,,0.5171721148332381,9.729442230604571e-06,5,30.992848261160407,8.417746234353766,0.009729442230604572,0.019458884461209143,0
4,$[E^{4-}]$,[E^{4-}],-4,10.26,5.495408738576248e-11,,,0.0715385941424201,0.000254599508757334,5,30.992848261160407,8.417746234353766,0.254599508757334,2.036796070058672,0
5,$[H^{+}]$,[H^{+}],1,14.0,1e-14,,,0.8480252333759359,3.821675125839302e-09,5,30.992848261160407,8.417746234353766,3.821675125839302e-06,1.910837562919651e-06,0
6,$[OH^{-}]$,[OH^{-}],-1,0.0,,,,0.8480252333759359,3.638552822886325e-06,5,30.992848261160407,8.417746234353766,0.0036385528228863252,0.0018192764114431626,0
7,$[TH^{+}]$,[TH^{+}],1,0.0,,5.94,1.1481536214968817e-06,0.8480252333759359,0.01524850479767449,5,30.992848261160407,8.417746234353766,15.24850479767449,7.624252398837245,0
8,$[T]$,[T],0,0.0,,,,1.0,0.03475149520232551,5,30.992848261160407,8.417746234353766,34.75149520232551,0.0,0
9,$[HE^{3-}]$,[HE^{3-}],-3,6.16,6.918309709189363e-07,,,0.22681876200946888,0.004735671049012061,5,30.992848261160407,8.417746234353766,4.735671049012061,21.310519720554275,0
10,$[H_2 E^{2-}]$,[H_2 E^{2-}],-2,2.67,0.0021379620895022326,,,0.5171721148332381,9.729442230604571e-06,5,30.992848261160407,8.417746234353766,0.009729442230604572,0.019458884461209143,0
11,$[E^{4-}]$,[E^{4-}],-4,10.26,5.495408738576248e-11,,,0.0715385941424201,0.000254599508757334,5,30.992848261160407,8.417746234353766,0.254599508757334,2.036796070058672,0
12,$[H^{+}]$,[H^{+}],1,14.0,1e-14,,,0.8480252333759359,3.821675125839302e-09,5,30.992848261160407,8.417746234353766,3.821675125839302e-06,1.910837562919651e-06,0
13,$[OH^{-}]$,[OH^{-}],-1,0.0,,,,0.8480252333759359,3.638552822886325e-06,5,30.992848261160407,8.417746234353766,0.0036385528228863252,0.0018192764114431626,0
